J_Id,medium
2314,Television
2315,Internet
2316,Print
2318,Print
2319,Print
2320,Internet
2320,Print
2321,Print
2322,Print
2323,Print
2324,Print
2325,Print
2326,Print
2327,Television
2328,Television
2329,Television
2330,Internet
2330,Print
2331,Print
2332,Internet
2333,Television
2334,Internet
2334,Print
2335,Internet
2335,Print
2336,Internet
2338,Television
2339,Print
2339,Radio
2340,Print
2342,Internet
2342,Print
2344,Print
2345,Radio
2346,Television
2347,Internet
2348,Print
2349,Internet
2349,Print
2350,Television
2351,Print
2352,Radio
2353,Internet
2354,Internet
2355,Print
2356,Print
2357,Television
2358,Internet
2359,Print
2360,Television
2361,Print
2362,Print
2363,Print
2364,Internet
2365,Print
2366,Print
2367,Television
2369,Print
