J_Id,sourceOfFire
3099,Political Group
3101,Political Group
3103,Political Group
3104,Criminal Group
3105,Political Group
3107,Government Officials
3109,Political Group
3111,Government Officials
3112,Criminal Group
3113,Political Group
3114,Political Group
3115,Political Group
3116,Political Group
3119,Political Group
3123,Mob Violence
3126,Military Officials
3128,Military Officials
3132,Military Officials
3133,Military Officials
3135,Government Officials
3137,Military Officials
3138,Political Group
3140,Political Group
3142,Political Group
3144,Political Group
3147,Government Officials
3156,Political Group
3157,Military Officials
3158,Military Officials
3161,Local Residents
3162,Military Officials
3172,Political Group
3181,Military Officials
3192,Political Group
3193,Political Group
3194,Political Group
3195,Political Group
3196,Unknown Fire
3200,Paramilitary Group
3209,Government Officials
3211,Military Officials
3214,Military Officials
3215,Criminal Group
3224,Government Officials
3242,Military Officials
3248,Military Officials
3250,Military Officials
3254,Political Group
3255,Criminal Group
3257,Political Group
3258,Local Residents
3264,Criminal Group
3267,Government Officials
3272,Criminal Group
3273,Criminal Group
3283,Military Officials
3285,Criminal Group
3290,Criminal Group
3292,Political Group
3298,Government Officials
3300,Political Group
3303,Criminal Group
3305,Military Officials
3308,Criminal Group
3309,Political Group
3310,Military Officials
3313,Military Officials
3314,Criminal Group
3315,Military Officials
3318,Political Group
3319,Military Officials
3322,Military Officials
3323,Paramilitary Group
3326,Local Residents
3328,Paramilitary Group
3329,Government Officials
3334,Political Group
3335,Local Residents
3337,Military Officials
3338,Political Group
3343,Political Group
3344,Military Officials
3346,Government Officials
3347,Political Group
3349,Military Officials
3366,Military Officials
3367,Political Group
3369,Political Group
3375,Local Residents
3378,Political Group
3381,Military Officials
3385,Military Officials
3386,Military Officials
3387,Local Residents
3388,Government Officials
3395,Government Officials
3403,Military Officials
3408,Political Group
3409,Government Officials
3413,Criminal Group
3426,Political Group
3427,Political Group
3430,Military Officials
3436,Political Group
3454,Military Officials
3456,Military Officials
3458,Military Officials
3459,Military Officials
3465,Government Officials
3466,Criminal Group
3467,Political Group
3469,Military Officials
3475,Military Officials
3478,Political Group
3479,Political Group
3483,Political Group
3486,Government Officials
3487,Military Officials
3489,Political Group
3490,Government Officials
3493,Local Residents
3495,Political Group
3496,Local Residents
3516,Government Officials
3533,Military Officials
3539,Political Group
3545,Government Officials
3546,Political Group
3551,Paramilitary Group
3555,Government Officials
3555,Local Residents
3562,Government Officials
3562,Local Residents
3583,Local Residents
