J_Id,job
1055,Broadcast Reporter
1056,Editor
1057,Print Reporter
1058,Print Reporter
1059,Editor
1059,Print Reporter
1060,Columnist/Commentator
1061,Publisher/Owner
1062,Broadcast Reporter
1062,Editor
1062,Internet Reporter
1063,Editor
1065,Publisher/Owner
1066,Print Reporter
1066,Internet Reporter
1068,Print Reporter
1069,Broadcast Reporter
1070,Photographer
1071,Editor
1072,Print Reporter
1073,Broadcast Reporter
1074,Editor
1075,Editor
1075,Publisher/Owner
1076,Publisher/Owner
1077,Print Reporter
1078,Editor
1079,Publisher/Owner
1080,Technician
1081,Broadcast Reporter
1082,Print Reporter
1084,Print Reporter
1086,Broadcast Reporter
1086,Print Reporter
1088,Editor
1088,Publisher/Owner
1089,Editor
1090,Print Reporter
1091,Internet Reporter
1091,Print Reporter
1092,Print Reporter
1092,Internet Reporter
1093,Print Reporter
1094,Print Reporter
1095,Publisher/Owner
1096,Publisher/Owner
1096,Columnist/Commentator
1097,Print Reporter
1098,Columnist/Commentator
1099,Columnist/Commentator
1100,Camera Operator
1101,Photographer
1102,Editor
1103,Editor
1104,Editor
1105,Print Reporter
1106,Broadcast Reporter
1108,Editor
1109,Editor
1110,Print Reporter
1111,Broadcast Reporter
1112,Columnist/Commentator
1114,Print Reporter
1115,Editor
1116,Broadcast Reporter
1117,Columnist/Commentator
1117,Editor
1118,Editor
1119,Columnist/Commentator
1119,Editor
1120,Broadcast Reporter
1122,Columnist/Commentator
1123,Editor
1124,Broadcast Reporter
1126,Editor
1127,Editor
1129,Print Reporter
1130,Camera Operator
1130,Photographer
1131,Camera Operator
1134,Broadcast Reporter
1136,Print Reporter
1137,Editor
1137,Internet Reporter
1138,Broadcast Reporter
1139,Broadcast Reporter
1140,Print Reporter
1141,Print Reporter
1142,Print Reporter
1143,Editor
1144,Editor
1145,Print Reporter
1146,Broadcast Reporter
1148,Print Reporter
1149,Print Reporter
1150,Broadcast Reporter
1153,Editor
1155,Editor
1156,Print Reporter
1157,Columnist/Commentator
1158,Print Reporter
1159,Photographer
1161,Print Reporter
1162,Print Reporter
1163,Print Reporter
1164,Print Reporter
1165,Broadcast Reporter
1166,Internet Reporter
1169,Broadcast Reporter
1169,Print Reporter
1170,Internet Reporter
1171,Print Reporter
1172,Columnist/Commentator
1173,Internet Reporter
1174,Publisher/Owner
1175,Print Reporter
1176,Editor
1177,Editor
1178,Broadcast Reporter
1178,Internet Reporter
1179,Broadcast Reporter
1180,Columnist/Commentator
1181,Print Reporter
1182,Editor
1183,Print Reporter
1185,Print Reporter
1186,Columnist/Commentator
1187,Publisher/Owner
1188,Editor
1189,Print Reporter
1190,Print Reporter
1191,Editor
1192,Internet Reporter
1192,Print Reporter
1193,Broadcast Reporter
1194,Camera Operator
1195,Print Reporter
1196,Camera Operator
1197,Internet Reporter
1199,Columnist/Commentator
1199,Publisher/Owner
1200,Broadcast Reporter
1201,Print Reporter
1202,Print Reporter
1203,Print Reporter
1205,Broadcast Reporter
1206,Print Reporter
1207,Broadcast Reporter
1209,Publisher/Owner
1210,Broadcast Reporter
1211,Internet Reporter
1211,Print Reporter
1212,Print Reporter
1213,Editor
1215,Publisher/Owner
1216,Editor
1217,Internet Reporter
1218,Camera Operator
1218,Photographer
1219,Columnist/Commentator
1219,Print Reporter
1220,Editor
1220,Print Reporter
1221,Publisher/Owner
1222,Print Reporter
1223,Broadcast Reporter
1223,Editor
1224,Publisher/Owner
1225,Producer
1226,Editor
1226,Internet Reporter
1227,Broadcast Reporter
1227,Photographer
1229,Columnist/Commentator
1229,Print Reporter
1230,Editor
1231,Publisher/Owner
1232,Editor
1233,Print Reporter
1234,Internet Reporter
1234,Print Reporter
1235,Columnist/Commentator
1236,Editor
1237,Internet Reporter
1238,Print Reporter
1239,Photographer
1240,Broadcast Reporter
1241,Columnist/Commentator
1241,Internet Reporter
1241,Print Reporter
1242,Broadcast Reporter
1243,Camera Operator
1244,Columnist/Commentator
1244,Editor
1245,Print Reporter
1246,Print Reporter
1247,Print Reporter
1248,Columnist/Commentator
1248,Print Reporter
1249,Camera Operator
1250,Broadcast Reporter
1251,Editor
1252,Print Reporter
1253,Internet Reporter
1253,Print Reporter
1254,Broadcast Reporter
1255,Broadcast Reporter
1255,Editor
1255,Producer
1256,Camera Operator
1257,Broadcast Reporter
1258,Editor
1259,Technician
1260,Columnist/Commentator
1260,Editor
1261,Broadcast Reporter
1261,Producer
1262,Camera Operator
1263,Camera Operator
1264,Print Reporter
1265,Internet Reporter
1267,Camera Operator
1268,Columnist/Commentator
1268,Internet Reporter
1269,Camera Operator
1270,Editor
1270,Publisher/Owner
1271,Print Reporter
1272,Columnist/Commentator
1273,Internet Reporter
1274,Print Reporter
1275,Broadcast Reporter
1275,Camera Operator
1276,Photographer
1277,Print Reporter
1278,Camera Operator
1279,Internet Reporter
1280,Print Reporter
1281,Editor
1281,Publisher/Owner
1282,Columnist/Commentator
1285,Print Reporter
1287,Print Reporter
1288,Broadcast Reporter
1292,Print Reporter
1293,Broadcast Reporter
1294,Broadcast Reporter
1295,Broadcast Reporter
1295,Print Reporter
1299,Broadcast Reporter
1300,Internet Reporter
1301,Editor
1303,Publisher/Owner
1304,Editor
1306,Editor
1306,Publisher/Owner
1307,Print Reporter
1308,Broadcast Reporter
1308,Producer
1309,Camera Operator
1310,Broadcast Reporter
1310,Camera Operator
1311,Columnist/Commentator
1311,Internet Reporter
1312,Internet Reporter
1312,Print Reporter
1312,Publisher/Owner
1314,Internet Reporter
1314,Print Reporter
1315,Internet Reporter
1316,Internet Reporter
1318,Columnist/Commentator
1319,Publisher/Owner
1320,Columnist/Commentator
1320,Internet Reporter
1321,Photographer
1322,Camera Operator
1322,Documentary Filmmaker
1322,Internet Reporter
1322,Producer
1323,Internet Reporter
1324,Columnist/Commentator
1325,Camera Operator
1325,Internet Reporter
1326,Editor
1327,Columnist/Commentator
1328,Print Reporter
1329,Print Reporter
1330,Print Reporter
1331,Columnist/Commentator
1332,Columnist/Commentator
1332,Publisher/Owner
1332,Internet Reporter
1333,Columnist/Commentator
1335,Print Reporter
1336,Broadcast Reporter
1336,Internet Reporter
1337,Editor
1339,Print Reporter
1340,Columnist/Commentator
1341,Publisher/Owner
1342,Camera Operator
1343,Camera Operator
1344,Camera Operator
1345,Technician
1346,Columnist/Commentator
1347,Photographer
1348,Publisher/Owner
1351,Editor
1352,Print Reporter
1353,Editor
1354,Internet Reporter
1358,Print Reporter
1359,Broadcast Reporter
1360,Camera Operator
1361,Internet Reporter
1362,Print Reporter
1363,Editor
1364,Print Reporter
1365,Publisher/Owner
1366,Editor
1367,Editor
1369,Print Reporter
1370,Print Reporter
1371,Technician
1372,Photographer
1373,Editor
1373,Internet Reporter
1373,Publisher/Owner
1374,Publisher/Owner
1375,Broadcast Reporter
1376,Editor
1377,Camera Operator
1378,Editor
1378,Publisher/Owner
1379,Editor
1380,Internet Reporter
1381,Editor
