J_Id,charge
3095,False News
3098,Anti-State
3100,Anti-State
3110,Anti-State
3120,No charge disclosed
3122,Retaliatory
3125,Anti-State
3129,Anti-State
3134,Anti-State
3139,Anti-State
3139,False News
3145,Retaliatory
3146,Anti-State
3149,Anti-State
3149,Defamation
3149,Retaliatory
3150,Anti-State
3150,False News
3151,Defamation
3152,Anti-State
3153,Anti-State
3154,Retaliatory
3155,Retaliatory
3159,No Charge
3163,No Charge
3163,Anti-State
3165,No Charge
3167,Anti-State
3169,Anti-State
3169,False News
3170,Retaliatory
3174,No charge disclosed
3175,No Charge
3176,Anti-State
3176,Defamation
3176,False News
3179,False News
3182,False News
3183,No Charge
3184,Anti-State
3185,Anti-State
3186,No Charge
3187,No charge disclosed
3188,False News
3190,False News
3190,Defamation
3191,Anti-State
3191,Censorship Violation
3197,Defamation
3198,Anti-State
3199,No Charge
3201,Defamation
3202,Anti-State
3203,Anti-State
3204,Anti-State
3205,No Charge
3206,Anti-State
3206,False News
3208,No charge disclosed
3212,No Charge
3213,Defamation
3216,Anti-State
3220,Retaliatory
3223,Retaliatory
3225,Anti-State
3226,Anti-State
3227,Anti-State
3228,Anti-State
3229,Anti-State
3231,Defamation
3232,Anti-State
3232,Retaliatory
3233,Anti-State
3234,Anti-State
3234,False News
3236,Anti-State
3238,Anti-State
3241,Anti-State
3243,Anti-State
3244,Anti-State
3245,No charge disclosed
3246,No Charge
3247,Anti-State
3252,Anti-State
3253,Anti-State
3256,Anti-State
3259,Anti-State
3260,Anti-State
3261,Anti-State
3262,Anti-State
3266,Retaliatory
3269,Anti-State
3277,Retaliatory
3279,Anti-State
3281,Anti-State
3282,Anti-State
3284,Anti-State
3286,Anti-State
3287,Anti-State
3288,Anti-State
3293,Retaliatory
